proj_no,project_title,approval_number,Type,status
36172-063,SUPPORTING THE STRENGTHENING PUBLIC MANAGEMENT PROGRAM,8173,TA,ACTIVE
N/A-N/A,XIENG KHOUANG ROAD IMPROVEMENT PROJECT,8175,LN,CLOSED
46054-001,ADVANCING SHANGHAI CARBON MARKET THROUGH EMISSIONS TRADING SCHEME,8178,TA,FIN COMPL
45283-001,MAINSTREAMING CLIMATE RESILIENCE INTO DEVELOPMENT PLANNING,8179,TA,ACTIVE
N/A-N/A,PRIMARY ROADS RESTORATION,8182,LN,CLOSED
N/A-N/A,SKILLS DEVELOPMENT,8183,LN,CLOSED
46095-001,IMPROVEMENT OF RAILWAY PASSENGER SERVICES,8183,TA,FIN COMPL
46085-001,PILOT IMPLEMENTATION OF THE DROUGHT MANAGEMENT STRATEGY,8185,TA,FIN COMPL
46252-001,GREATER MEKONG SUBREGION: CLIMATE RESILIENCE IN CITIES,8186,TA,FIN COMPL
N/A-N/A,SOUTHEST ROAD NETWORK DEVELOPMENT PROJECT,8187,LN,CLOSED
46369-001,SUPPORT FOR EDUCATION SECTOR PLANNING,8187,TA,FIN COMPL
46226-001,COUNTRY SYSTEMS IN PROCUREMENT AND FINANCIAL MANAGEMENT,8188,TA,ACTIVE
45105-003,IMPLEMENTATION OF SUSTAINABLE TRANSPORT IN ASIA AND THE PACIFIC,8189,TA,ACTIVE
46269-001,SSTA-TRDE FCLTN SPPRT FR ASEAN ECON COMMUNITY BLUEPRINT IMPLMNTTN,8190,TA,FIN COMPL
N/A-N/A,MELAMCHI WATER SUPPLY,8191,LN,CLOSED
N/A-N/A,TECHNICAL EDUCATION AND SKILLS DEVELOPMENT,8192,LN,CLOSED
45042-003,ACCTNG & FINANCIAL MNG'T SYS REFORM FOR THAILAND'S RAILWAY SECTOR,8194,TA,FIN COMPL
45296-003,DAVAO SUSTAINABLE URBAN TRANSPORT PROJECT,8195,TA,FIN COMPL
N/A-N/A,NWFP BARANI AREA DEVELOPMENT PROJECT-PHASE II,8195,LN,CLOSED
45273-002,Supporting Brick Sector Develo pment Program,8197,TA,ACTIVE
N/A-N/A,EMERGENCY INFRASTRUCTURE REHABILITATION PHASE II,8198,LN,CLOSED
29471-013,"RURAL ELECTRIFICATION, DISTRIBUTION AND TRANSMISSION",8199,LN,CLOSED
N/A-N/A,SOUTHERN PROVINCE RURAL ECONOMIC ADVANCEMENT,8200,LN,CLOSED
46080-001,JIANGXI ZHELIN LAKE WATER RESOURCES INTEGRATED UTILIZATION PROJCT,8201,TA,FIN COMPL
N/A-N/A,NORTH EAST COMMUNITY RESTORATION & DEVT,8201,LN,CLOSED
N/A-N/A,ROAD SECTOR DEVELOPMENT,8202,LN,ACTIVE
45110-001,FISCAL ASPECT OF SOCIAL SECURITY REFORM,8202,TA,ACTIVE
N/A-N/A,ROAD REHABILITATION,8203,LN,CLOSED
42179-013,REGIONAL CAPACITY DEVELOPMENT FOR STRENGTHENED HIV RESPONSE,8204,TA,FIN COMPL
32223-013,ROAD NETWORK IMPROVEMENT AND MAINTENANCE,8204,LN,CLOSED
N/A-N/A,GMS:CAMBODIA ROAD IMPROVEMENT,8205,LN,CLOSED
31280-013,ROAD SECTOR DEVELOPMENT,8206,LN,CLOSED
45148-003,CAPACITY DEVELOPMENT FOR NON REVENUE WATER REDUCTION,8206,TA,FIN COMPL
34121-013,Community Water Transport,8211,LN,CLOSED
45140-001,ULAANBAATAR URBAN TRANSPORT CAPACITY DEVELOPMENT,8212,TA,ACTIVE
N/A-N/A,Dushanbe-Kyrgyz Border Road Rehabilitation (Phase I),8212,LN,CLOSED
46061-001,IMPLEMENTING PRUDENTIAL STANDARDS IN ISLAMIC FINANCE,8214,TA,FIN COMPL
46045-001,STRENGTHENING COUNTRY SAFEGUARD SYSTEMS IN THE TRANSPORT SECTOR,8217,TA,FIN COMPL
30271-013,ROADS FOR RURAL DEVELOPMENT PROJECT,8217,LN,CLOSED
34197-032,Northern & Central Region Water Supply & Sanitation Project,8219,LN,CLOSED
26427-013,SECONDARY TOWNS INTEGRATED FLOOD PROTECTION PHASE 2,8220,LN,ACTIVE
46025-001,JOINT CNTRL OF TRANSBOUNDARY ANIMAL DISEASES N THE PRC & MONGOLIA,8220,TA,ACTIVE
40540-014,INSTITUTIONAL STRENTHENING OF THE ROADS AND HIGHWAYS DEPARTMENT,8221,TA,ACTIVE
39144-013,TSUNAMI-AFFECTED AREAS REBUILDING PROJECT,8221,LN,ACTIVE
41544-082,INVESTMENT CLIMATE IMPROVEMENT PROGRAM-SUBPROGRAM 2(PREPARNG SUBPRGM3),8222,TA,FIN COMPL
33209-013,COMMUNITY MANAGED IRRIGATED AGRICULTURE SECTOR,8222,LN,ACTIVE
46173-001,SUPPORTING THE USE OF CARBON FINANCING TO PROMOTE GREEN GROWTH,8223,TA,ACTIVE
45266-001,IMPROVING ACCESS TO FINANCE IN ACEH AND NORTH SUMATRA,8224,TA,ACTIVE
36297-013,SECONDARY TOWNS WATER SUPPLY AND SANITATION SECTOR PROJECT,8225,LN,ACTIVE
46232-001,GREATER MEKONG SUBREGION PHNOM PENH PLAN FR DEV'NT MNG'TPHASE V,8225,TA,FIN COMPL
39175-013,GMS:KUNMING-HAIPHONG TRNSPRT CRRDOR YEN VIEN-LAO CAI RLWY UPGRDNG,8227,LN,ACTIVE
43477-013,ENHANCING EFFECIENCY OF THE CAPITAL MARKET,8228,TA,FIN COMPL
37269-013,GMS:REHABILITATION OF THE RAILWAY IN CAMBODIA,8228,LN,ACTIVE
46189-001,ENHANCING DEVELOPMENT MANAGEMENT FOR SUSTAINABLE & INCL GROWTH,8229,TA,ACTIVE
35297-013,NORTHERN REGION SUSTAINABLE LIVELIHOODS THRU LIVESTOCK DEVT PROJ,8229,LN,CLOSED
40043-013,REGIONAL POWER TRANSMISSION INTERCONNECTION,8230,LN,CLOSED
37266-032,ROAD CONNECTIVITY SECTOR I,8231,LN,ACTIVE
38183-013,POWER SECTOR EXPANSION PROJECT,8232,LN,ACTIVE
41657-013,EMERGENCY DISASTER DAMAGE REHABILITATION (SECTOR) PROJECT,8233,LN,CLOSED
40554-022,RURAL RECONSTRUCTION AND REHABILITATION SECTOR,8234,LN,CLOSED
31624-023,MELAMCHI WATER SUPPLY PROJECT,8235,LN,ACTIVE
37097-013,INTEGRATED RURAL DEVELOPMENT SECTOR PROJECT IN CENTRAL PROVINCES,8236,LN,ACTIVE
40037-013,LAE PORT DEVELOPMENT PROJECT,8237,LN,ACTIVE
46162-001,STRNGTHNG DISASTER & CLMTE RISK RESILNCE IN URBAN DVT IN THE PCFC,8238,TA,ACTIVE
37749-013,AGRARIAN REFORM COMMUNITIES PROJECT II,8238,LN,ACTIVE
41657-013,EMERGENCY DISASTER DAMAGE REHABILITATION (SECTOR),8239,LN,CLOSED
46309-001,SUPPORTING REGIONAL PROJECT DEVELOMPMENT FOR ASEAN'S CONNECTIVITY,8240,TA,ACTIVE
38411-023,ORISSA INTEGRATED IRRIGATED AGRICULTURE & WATER MGT INVEST PROG,8240,LN,ACTIVE
41656-012,LAO:NORTHERN GMS TRANSPORT NETWORK IMPROVEMENT PROJECT,8241,LN,ACTIVE
46060-001,PROMOTING INCLUSIVE GROWTH,8241,TA,ACTIVE
41123-013,ROAD ASSET MANAGEMENT PROJECT,8242,LN,CLOSED
41435-013,TONLE SAP POVERTY REDUCTION AND SMALLHOLDER DEVELOPMENT PROJECT,8243,LN,ACTIVE
46254-001,CAPACITY DEVELOPMENT AND INSTITUTIONAL SUPPORT,8244,TA,ACTIVE
43151-023,TALIMARJAN POWER PROJECT,8244,LN,ACTIVE
40061-013,JAVA-BALI ELECTRICITY DISTRIBUTION PERFORMANCE IMPROVEMENT PROJ,8245,LN,ACTIVE
42051-023,MFF-ENERGY EFFICIENCY INVESTMENT PROGRAM-TRANCHE 1,8246,LN,CLOSED
39399-013,SOUTH ASIA TOURISM INFRASTRUCTURE DEVELOPMENT,8247,LN,ACTIVE
39432-013,PARTICIPATORY SMALL-SCALE WATER RESOURCES SECTOR PROJECT,8248,LN,ACTIVE
36188-023,SECONDARY TOWNS INTEGRATED URBAN ENVIRONMENTAL IMPROVEMENT PROJ,8249,LN,ACTIVE
39432-013,PARTICIPATORY SMALL-SCALE WATER RESOURCES SECTOR-SUPPL,8250,LN,ACTIVE
45327-001,IMPROVING FINANCIAL INCLUSION IN ASIA_AND THE PACIFIC,8250,TA,ACTIVE
41121-043,CAREC TRANSPORT CORRIDOR 1 INVT PROGRAM - TRANCHE 3,8251,LN,ACTIVE
38357-013,NATIONAL HIGHWAYS SECTOR PROJECT,8252,LN,CLOSED
38558-013,WATER RESOURCES MANAGEMENT SECTOR DEVT PROGRAM(PROJECT LOAN),8253,LN,ACTIVE
43309-013,PROVINCIAL ROADS IMPROVEMENT PROJECT,8254,LN,ACTIVE
46214-001,ENHANCING ECONOMIC ANALYSIS AND SOUTH-SOUTH LEARNING,8254,TA,ACTIVE
46368-001,STRENGTHENING THE ANTI MONEY LAUNDERING REGIME,8255,TA,ACTIVE
41444-013,2ND NORTHERN GMS TRANSPORT NETWORK IMPROVEMENT PROJECT,8255,LN,ACTIVE
46273-001,PREPARING FOR REGIONAL ECONOMIC INTEGRATION,8256,TA,ACTIVE
,LN8256-THA:PROVINCIAL SOLAR CTF,8256,LN,ACTIVE ACCOUNT
38426-023,DECENTRALIZED RURAL INFRASTRUCTURE & LIVELIHOOD PROJ-ADD'L FINCNG,8257,LN,ACTIVE
46366-001,RESULTS-BASED STRATEGY AND SECTOR PLANNING IN THE PACIFIC,8257,TA,ACTIVE
45084-002,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT,8258,LN,ACTIVE
45423-001,CAPACITY BUILDING FOR MICROINSURANCE,8258,TA,ACTIVE
45432-002,CAREC 6 (AYNI-UZBEKISTAN BORDER ROAD)IMPROVEMENT PROJECT,8259,LN,ACTIVE
46444-001,E-GOVERNMENT FOR EFFECTIVE PUBLIC MANAGEMENT,8260,TA,ACTIVE
,LN8260-THA:THEPPANA WIND CTF,8260,LN,ACTIVE ACCOUNT
43207-013,MARKET TRANSFORMATION THRU INTRO OF ENERG-EFFI ELECT VEHICLES PRO,8261,LN,ACTIVE
40190-013,GMS FLOOD & DROUGHT RISK MANAGEMENT & MITIGATION PROJECT,8262,LN,ACTIVE
40540-014,SASEC ROAD CONNECTIVITY PROJECT,8263,LN,ACTIVE
42361-013,MEDIUM-VOLTAGE SUB-TRANSMISSION EXPANSION SECTOR PROJECT,8264,LN,ACTIVE
43319-033,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT PROJECT,8265,LN,ACTIVE
41220-013,INTEGRATED NATURAL RESOURCES AND ENVIRONMENTAL MANAGEMENT PROJECT,8266,LN,ACTIVE
46231-001,STRENGTHENING INTEGRATED WATER & FLOOD MANAGEMENT IMPLEMENTATION,8267,TA,ACTIVE
41076-044,ROAD IMPROVEMENT AND INSTITUIONAL DEVELOPMENT PROJECT,8267,LN,ACTIVE
46122-001,OUTER ISLANDS FOR SUSTAINABLE ENERGY DEVELOPMENT,8268,TA,FIN COMPL
,LN8268:THA:SOLARCO CTF,8268,LN,ACTIVE ACCOUNT
46089-001,BIODIVERSITY STRATEGY AND ACTION PLAN FOR YUNNAN PROVINCE,8269,TA,FIN COMPL
43524-014,KATHMANDU VALLEY WASTEWATER MANAGEMENT PROJECT,8269,LN,ACTIVE
42169-013,GREATER DHAKA SUSTAINABLE URBAN TRANSPORT PROJECT,8270,LN,ACTIVE
44321-013,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DEVELOPMENT PROG,8271,LN,ACTIVE
41074-013,WEST KALIMANTAN POWER GRID STRENGTHENING PROJECT,8272,LN,ACTIVE
44507-002,PUBLIC-PRIVATE PARTNERSHIP SUPPORT PROJECT(ADD'L FINANCING),8273,LN,ACTIVE
41509-013,Rural Primary Health Services Delivery Project,8274,LN,ACTIVE
45224-003,MFF:RAJASTHAN RENEWABLE ENERGY TRANSMISSION INVESTMENT PROG-TRNCH,8275,LN,ACTIVE
42362-013,JAVA-BALI 500-KILOVOLT POWER TRANSMISSION CROSSING,8276,LN,ACTIVE
,LN8277-INO:SARULLA GEOTHERMAL (CTF),8277,LN,ACTIVE ACCOUNT
,LN8278-INO:SARULLA GEOTHERMAL (CCF),8278,LN,ACTIVE ACCOUNT
45200-002,SUSTNBLE URBAN TRNSPRT FR HO CHI MINH CITY MASS RAPID TRANSIT L2,8279,LN,ACTIVE
44447-012,PREPARING THE BOND GUARANTEE FUND FOR INDIA,8279,TA,FIN COMPL
43251-025,METROPOLITAN SANITATION MANAGEMENT INVESTMENT PROJECT,8280,LN,ACTIVE
,LN8281-GEO: ADJARISTSQALI (CCFPS),8281,LN,ACTIVE ACCOUNT
45148-007,GREATER COLOMBO WATER & WWATER MGT IMPROVEMENT INVESTMENT PROG-P2,8282,LN,ACTIVE
46476-001,IMPROVING PUBLIC ADMINISTRATION & SERVICES DELIVERY THRU E-SOLUTN,8283,TA,FIN COMPL
,LN8283- INO:RANTAU DEDAP,8283,LN,ACTIVE ACCOUNT
46114-001,Supporting Financial Stability  in Bhutan and the Maldives,8284,TA,FIN COMPL
44212-013,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT,8284,LN,ACTIVE
39295-013,THIRD URBAN GOVERNANCE AND INFRASTRUCTURE IMPROVEMENT(SECTOR PROJ,8285,LN,ACTIVE
46391-001,HA NOI AND HO CHI MINH CITY POWER GRID DEVELOPMENT SECTOR PROJECT,8286,LN,ACTIVE
45274-001,SCALING UP RENEWABLE ENERGY ACCESS IN EASTERN INDONESIA,8287,TA,ACTIVE
33209-013,PARTLY ADMIN:COMMUNITY-MANAGED IRRIGATED AGRICULTURE SECTOR-ADDFI,8288,LN,ACTIVE
,LN8289-THA:CHAIYAPHUM WIND CTF,8289,LN,ACTIVE ACCOUNT
47037-004,GREEN POWER DEVT & ENERGY EFFICIENCY IMPROVEMENT INVESTMENT - T1,8290,LN,ACTIVE
40080-024,STRENGTHENING SUSTAINABLEURBAN TRANSPORT FOR HA NOI METRO LINE 3,8291,LN,ACTIVE
42173-013,DHAKA ENVIRONMENTALLY SUSTAINABLE WATER SUPPLY PROJECT,8292,LN,ACTIVE
44037-014,MNGMT & PROTECTION OF WETLANDS IN WEINAN CITY IN SHAANXI PROVINCE,8293,TA,ACTIVE
49043-001,SUSTAINABLE AND INCLUSIVE ENERGY PROGRAM ( SUBPROGRAM 1),8293,LN,ACTIVE
46422-003,GMS EAST-WEST ECNMIC CORRIDOR EINDU TO KAWKAREIK ROAD IMPRVMNT PR,8294,LN,ACTIVE
43166-210,INSTITUTIANL STRENGTHNG OF THE CHATTISGARH PUBLIC WORKS DEPT(SP27,8295,TA,FIN COMPL
42285-013,INTEGRATED URBAN ENVIRONMENTAL MGMT IN THT TONLE SAP BASIN PROJ,8295,LN,ACTIVE
46492-001,OUTER ISLAND ENERGY EFFICIENCY PROJECT,8296,TA,FIN COMPL
46443-003,SECOND GMS CORRIDOR TOWNS DEVELOPMENT PROJ,8296,LN,ACTIVE
49080-001,RBL: ELECTRICITY GRID STRENGTHENING SUMATRA PROGRAM,8297,LN,ACTIVE
45010-001,REFORMS N TECHNICAL & VOCATIONAL EDUCATION & TRAINING IN MONGOLIA,8299,TA,FIN COMPL
42334-014,RURAL ROADS IMPROVEMENT PROJECT II,8299,LN,ACTIVE
42334-014,RURAL ROADS IMPROVEMENT PROJECT II (ADDITIONAL FINANCING),8300,LN,ACTIVE
46140-001,CAREC:SUPPORTING CAPACITY DEVELOPMENT NEEDS OF CAREC 2020,8301,TA,ACTIVE
40080-025,HA NOI METRO RAIL SYSTEM PROJ(LINE3:NHON-HA NOI STATION SECT)-ADD,8302,LN,ACTIVE
46049-001,XINJIANG AKESU INTEGRATED URBAN DEV'T & ENVRNMNT IMPRVMNT PROJECT,8303,TA,FIN COMPL
N/A-N/A,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT,8303,LN,ACTIVE
35173-013,THIRD SMALL TOWNS WATER SUPPLY AND SANITATION SECTOR PROJECT,8304,LN,ACTIVE
46346-001,EBEYE WATER SUPPLY AND SANITATION PROJECT,8306,TA,ACTIVE
46351-001,PROJECT TO IMPLEMENT THE STRATEGIC PROGRAM FOR CLIMATE RESILIENCE,8307,TA,FIN COMPL
46008-001,CAP BLDG & COORDNTN IMPRVMNT FR EFFCTVE REG'L COOP INV'T PLANNING,8310,TA,ACTIVE
46474-001,GREEN CITIES: A SUSTAINABLE URBAN FUTURE IN SOUTHEAST ASIA,8314,TA,ACTIVE
46911-012,GLOBAL CLIMATE PARTNERSHIP FUND-INDONESIA INVESTMENT PROGRAM,8318,TA,FIN COMPL
42176-012,ESTABLISHING A REGULATORY FRAMEWORK FOR URBAN WATER SUPPLY & SANT,8320,TA,FIN COMPL
44252-012,"ENHANCING FINANCIAL SECTOR GOVERNANCE,RISK MANAGEMENT, AND DEPTH",8326,TA,ACTIVE
46370-001,DEVELOPING THE ASSET MANAGEMENT PROGRAM FOR MYANMAR ROADS,8327,TA,ACTIVE
46347-001,SUPPORTING THE INTER MINISTERIAL COMMISSION FOR ENERGY,8328,TA,ACTIVE
43281-013,Support for Sustainable Energy  Management and Reforms,8329,TA,ACTIVE
46422-001,GMS EAST-WEST ECONOMIC CORRIDOR EINDU TO KAWKAREIK ROAD IMPRVMENT,8330,TA,ACTIVE
44413-012,SUSTAINABLE FOREST AND BIODIVERSITY MANAGEMENT IN BORNEO,8331,TA,ACTIVE
46480-001,IMPROVING COMPETITIVENESS IN TOURISM,8334,TA,ACTIVE
46481-001,EMPLOYMENT FACILITATION FOR INCLUSIVE GROWTH,8335,TA,ACTIVE
39295-032,THIRD URBAN GOVERNANCE & INFRASTRUCTURE IMPROVEMENT SECTOR PRJ,8339,TA,ACTIVE
46237-001,DVLPNG THE MARKET READINESS PROPOSAL FOR A DOMESTIC CARBON MARKET,8341,TA,FIN COMPL
46390-001,POWER TRANSMISSION AND DISTRIBUTION IMPROVEMENT PROJECT,8342,TA,ACTIVE
46500-001,ESTBLSHMNT OF THE PCFC REGION INFRSTRCTRE FCLTY COORDINATN OFFICE,8345,TA,ACTIVE
35173-012,Third Small Towns Water Supply  and Sanitation Sector Project,8346,TA,ACTIVE
43166-212,PREPARING 2ND POWER SECTOR INVESTMENT PROJECT FOR ASSAM (SUPRJ28),8351,TA,ACTIVE
46429-001,SUPPORTING CAPACITY DEVELOPMENT FR THE BUREAU OF INTERNAL REVENUE,8354,TA,FIN COMPL
46389-001,INSTITUIONAL STRNGTHNG OF NAT'L.MGT COMMITTEE IN ENRGY PLCY PLNG,8356,TA,ACTIVE
44002-022,IMPROVING OPERATIONAL PERFORMANCE OF THE WATER SUPPLY PROJECT,8357,TA,ACTIVE
47013-001,MINIMUM SERVICE STANDARDS CAPACITY DEVELOPMENT PROGRAM,8358,TA,ACTIVE
46249-001,REGIONLA CLIMATE PROJECTIONS CONSORTIUM & DATA FACILITY IN APC,8359,TA,ACTIVE
46449-001,IMPLMNTN OF THE STRATEGIC PRGRM FOR CLIMATE RESILIENCE:PACIFIC REGION,8360,TA,ACTIVE
45415-001,Urban Development in Secondary  Cities,8361,TA,ACTIVE
46495-001,STRATEGIC PROGRAM FOR CLIMATE RESILIENCE IMPLEMENTATION PROJECT,8362,TA,ACTIVE
47008-001,RENEWABLE ENERGY DEVELOPMENT (BIOMASS COGENERATION) PROJECT,8364,TA,ACTIVE
46487-001,ALTERNATIVE URBAN INFRASTRUCTURE FINANCING MODALITIES,8366,TA,ACTIVE
46096-001,PREVENTION & CONTROL OF HIV/AIDS & OTHER COMMUNICABLE DISEASES,8367,TA,FIN COMPL
46399-001,INNOVATV DATA COLLECTION METHODS FR AGRICLTURL & RURAL STATISTICS,8369,TA,ACTIVE
47903-012,ESTABLISHMENT OF THE INTL PUBLIC ASSET MANAGEMENT COMPANY FORUM,8370,TA,ACTIVE
45120-004,SAMARKAND SOLAR POWER PROJECT,8372,TA,ACTIVE
41340-014,Advanced Electricity Metering Project  Phase 2,8376,TA,ACTIVE
46485-001,CAPACITY DEVELOPMENT OF THE NATIONAL STATISTICAL SYSTEM,8377,TA,ACTIVE
46510-001,"PACIFIC PRIVATE SECTOR DEVELOPMENT INITIATIVE, PHASE III",8378,TA,ACTIVE
46062-001,GANSU BAIYIN URBAN DEVELOPMENT II PROJECT,8381,TA,FIN COMPL
47173-001,Sustainable Hydropower in Asia  Publication,8382,TA,FIN COMPL
46475-001,EVOLVING LINKAGES OF THE PACIFIC ECONOMIES,8384,TA,ACTIVE
47177-001,SUPPORT FOR POST PRIMARY EDUCATION DEVELOPMENT,8385,TA,ACTIVE
46019-001,PRMTNG COOPERTION IN SANITARY AND PHOTOSANITARY MEASURES FR CAREC,8386,TA,FIN COMPL
46070-001,SPPRT FR RGL PLTFRM ON INNVTNS N EDUC&HRD FR CMPTVNS-ASEAN COMNTY,8389,TA,ACTIVE
46482-001,STRENGTHENING MICROFINANCE SECTOR OPERATIONS AND SUPERVISION,8391,TA,ACTIVE
46244-001,PROVISION OF KNOWLDG PROD & SERV TO DMCS THRU SYSTMATC KNWLDGE,8392,TA,ACTIVE
45229-001,ACCESS TO GREEN FINANCE PROJECT,8394,TA,ACTIVE
47170-001,MIDTERM REVIEW OF THE REP OF KOREA E-ASIA & KNOWLEDGE  PARNERHP,8396,TA,FIN COMPL
47158-001,DESIGN OF E-GOVERNANCE MASTER PLAN AND REVIEW OF ICT CAPACITY,8398,TA,FIN COMPL
47900-012,PROMOTING ASIAN BOND MARKETS THRU THE ASIANBONDS ONLINE WEBSITE,8400,TA,ACTIVE
47018-001,Gas Development Master Plan,8401,TA,ACTIVE
47119-001,SSTA-PLANNING A PILOT CARBON CAPTURE AND STORAGE ACTIVITY,8407,TA,ACTIVE
47240-001,COMMUNICATIONS CAMPAIGN FOR PREVENTION OF HIV AIDS,8408,TA,FIN COMPL
44219-015,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION  SASEC  POWER SYSTEM,8412,TA,ACTIVE
47176-001,Delhi Water Supply Improvement  Investment Program,8415,TA,ACTIVE
47046-001,GANSU FEATURED AGRICULTURE & FINANCIAL SRVICES SYSTEM DEV'T. PROJ,8417,TA,FIN COMPL
43166-213,Advanced Project Preparedness for Poverty Reduction   Enhanc ing Capac,8420,TA,ACTIVE
47044-001,ECO-CMPNSTN MCHNSM & PLCY FRMWK STDY-XIANGJIANG RVR WTRSHD OF CZT,8421,TA,FIN COMPL
47047-001,SHANDONG GROUNDWATER ALLOCATION AND PROTECTION,8423,TA,FIN COMPL
47048-001,HUBEI ENSHI QING RIVER UPSTREAM ENVIRONMNT REHABILITATION PROJECT,8424,TA,FIN COMPL
46443-001,SECOND GREATER MEKONG SUBREGION CORRIDOR TOWNS DEVELOPMNT PROJECT,8425,TA,ACTIVE
46310-001,PROMOTING REGIONAL KNOWLEDGE SHARING PARTNERSHIPS,8430,TA,ACTIVE
47918-012,ENERGY EFFICENCY MULTI-PROJECT  FINANCING PROGRAM,8431,TA,ACTIVE
46233-001,"IMPROVING WATER PLANNING, MANAGEMENT, AND DEVELOPMENT",8432,TA,FIN COMPL
46939-012,TECH TRAINING & CAP BLDG FOR SELECTED ASIAN COUNTRIES ON REFM(PH2,8433,TA,FIN COMPL
47016-001,TRADE FACILITATION IN SOUTH ASIA,8435,TA,ACTIVE
47022-001,SUPPORTING PARTICIPATION IN SASEC TRADE FACILITATION PROGRAM,8436,TA,ACTIVE
47025-001,SUPPORTING PARTICIPATION IN THE SASEC TRADE FACILIATION PROGRAM,8437,TA,ACTIVE
47272-001,SSTA-REGL STRATEGC RESPONSE TO MALARIA & OTHER COMMNICBLE DISEASE,8438,TA,FIN COMPL
46453-001,RENEWABLE ENERGY PROJECT,8439,TA,FIN COMPL
47163-001,DEVT & DISSEMNTN OF CLMTE-RESLNT RICE VARTS FOR WATER-SHRT AREAS,8441,TA,ACTIVE
47028-001,SUPPORTING PARTICIPATION IN THE SASEC FACILITATION PROGRAM,8442,TA,ACTIVE
46088-001,POLICY & MANAGEMENT SYSTEM DEV'T. FOR RURAL ENVIRONMENTAL PROTCTN,8445,TA,FIN COMPL
47259-001,SUSTAINABLE ENERGY TRAINING PROGRAM,8446,TA,FIN COMPL
47030-001,JIANGXI PINGXIANG INTEGRATED RURAL URBAN INFRASTRUCTURE DEVELOPMT,8451,TA,ACTIVE
44309-012,TRINCOMALEE INTEGRATED URBAN DEVELOPMENT PROJECT,8453,TA,ACTIVE
45225-002,Concentrated Solar Power Proje ct,8455,TA,ACTIVE
46496-001,TRANSFORMATION OF URBAN MANAGEMENT,8456,TA,ACTIVE
47904-012,WASTEWATER TREATMENT & REUSE P ROJECT,8457,TA,ACTIVE
47144-001,MTGT'N OF HAZARDOUS WASTE CNTMINT'N-URBAN AREAS:SPPRTNG INC GRWTH,8458,TA,ACTIVE
43220-012,INDONESIA IRRIGATION SECTOR PROJECT,8460,TA,ACTIVE
47007-001,STRENGTHENING THE HEALTH INSURANCE SYSTEM,8466,TA,ACTIVE
47039-001,ULAANBAATAR URBAN PLANNING IMPROVEMENT,8467,TA,ACTIVE
46166-001,CAPACITY BLDG FOR SUPPORTI NG HUMAN CAPITAL DEVT IN MEHHALAYA,8468,TA,ACTIVE
46486-001,ENHANCING THE POWER SECTOR'S LEGAL AND REGULATORY FRAMEWORK,8469,TA,ACTIVE
47127-001,MANDALAY CITY URBAN SERVICES IMPROVEMENT PROJECT,8472,TA,ACTIVE
46511-001,ENHNCNG ECON COMPETITIVENESS THRU STATE-OWNED ENTERPRISE REFORM,8478,TA,ACTIVE
43029-013,RESTORATION OF WETLANDS IN DALAI LAKE NATURE RESERVE OF INNER MON,8479,TA,ACTIVE
46241-001,ASIA ENERGY EFFICIENCY ACCELERATOR,8483,TA,ACTIVE
46380-003,SSTNBLE INFRSTRCTRE ASSISTNCE PROG TA CLUSTER MGT FCLTY (SUBPRJ 1),8484,TA,ACTIVE
47278-001,STRTHNG REG RESP TO MALARIA & OTHR CMNCBLE DSEASES IN ASIA & PCFC,8485,TA,ACTIVE
45224-003,RAJASTHAN RENEWABLE ENERGY CAPACITY DEVT & IMPLEMENTATION SUPPORT,8486,TA,ACTIVE
47201-001,INFORMATION & COMMUNICATION TECHNOLOGY FOR BETTER EDUCATION SRVCS,8487,TA,ACTIVE
47024-001,PREPARING MFF KHYBER PAKHTUNKH WATER RESOURCES SECTOR,8488,TA,ACTIVE
46078-002,STRENGTHENING URBAN FLOOD MANAGEMENT IN HUAINAN MUNICIPALITY,8491,TA,ACTIVE
46441-001,CLIMATE RESILIENCE AND GREEN GROWTH IN CRITICAL WATERSHEDS,8493,TA,ACTIVE
42117-024,TIANJIN INTGRTD GASIFICATION CMBND CYCLE PWR PLANT ADDTL FINANCNG,8499,TA,ACTIVE
43448-013,INST & LGAL SPPRT FOR IMPRVED WMS IN NEPAL & FRMATION OF BGMATI,8500,TA,ACTIVE
47936-012,CAPACITY DEVELOPMENT FOR THE SUPPLY CHAIN FINANCE PROGRAM,8501,TA,ACTIVE
47211-001,PARTNERSHIP FOR INNOVATION IN EDUCATION IN ASIA AND THE PACIFIC,8503,TA,ACTIVE
46380-006,SSTNBLE INFRA ASSTNCE PROG-SCALING UP HYDROPWR DEVT PROJ(SBPRJ 3),8506,TA,ACTIVE
46380-007,SSTNBLE INFRSTRCTRE ASSTNCE PRGRM-IKK WTR SPPLY SCTR PRJ(SBPRJ 2),8508,TA,ACTIVE
46206-001,DEVELOPING LOCAL CURRENCY BONDS FOR INFRA FINANCE IN ASEAN+3,8510,TA,ACTIVE
